1;Joyce-Normanexh.;Lake Jennifer;291;653
2;Wilson, Bailey and Figueroaexh.;Port Audreyport;93;265
3;Wells, Phillips and Jacobsexh.;Lake Jasmin;162;50
4;Dawson LLCexh.;Sullivantown;173;685
5;Douglas-Frenchexh.;Craigshire;281;2
6;Wise LLCexh.;West David;167;902
7;Rodriguez, Clarke and Wilsonexh.;Lake Kathryn;86;129
8;Watson Groupexh.;Gardnerport;70;578
9;Ray, Perez and Myersexh.;Benjaminfort;258;435
10;Green-Copelandexh.;Susanhaven;291;614
11;Daniels-Hunterexh.;Hinesbury;92;598
12;Martin, Jackson and Walshexh.;Longberg;120;10
13;Scott, Robinson and Mayexh.;Lake Christophermouth;82;285
14;Clark and Sonsexh.;Powellfort;189;811
15;Myers, Shaffer and Manningexh.;Reneemouth;193;608
16;Nelson-Hernandezexh.;Kristenberg;79;365
17;Young, Cherry and Clarkexh.;Port Trevorstad;159;271
18;Freeman, Crosby and Chaneyexh.;Devinside;95;630
19;Boyd, Schroeder and Gatesexh.;Juliamouth;280;230
20;Miller-Gordonexh.;Kaneberg;251;635
21;Morgan LLCexh.;Kevinton;300;749
22;Sweeney, Peterson and Marshallexh.;New Dylantown;66;930
23;Lee Incexh.;Hudsontown;113;36
24;Barrett Ltdexh.;South Angelahaven;178;397
25;Harrison, Gomez and Lewisexh.;North Margaretside;268;790
26;Brown-Vargasexh.;Newtonville;173;506
27;Conrad, Travis and Williamsonexh.;Morrisfort;61;683
28;Brady-Scottexh.;New Kim;135;578
29;Martinez, Dean and Keithexh.;East Hunterview;272;427
30;Forbes PLCexh.;New Jenna;168;255
31;Ortiz, Johnson and Jacksonexh.;Zacharyview;263;186
32;Henry, Cook and Lopezexh.;Jasonport;219;54
33;Webster Incexh.;North Lydia;123;905
34;Martin, Clark and Summersexh.;South Bryan;177;310
35;Durham-Milesexh.;Petermouth;148;935
36;Morrison, White and Martinexh.;East Melissaview;105;361
37;Riley-Wellsexh.;Lake Calvin;68;723
38;Garrett PLCexh.;West Kenneth;234;571
39;Aguirre, Chapman and Riveraexh.;Wilsonberg;80;564
40;Stevens-Hoffmanexh.;Port Kevinville;250;828
41;Cooper, Scott and Bergerexh.;Erikfurt;50;832
42;Valdez Groupexh.;Samuelmouth;176;207
43;Kelley and Sonsexh.;Cookfort;170;209
44;Robinson-Lynchexh.;East Sandra;270;631
45;Villanueva-Lewisexh.;Lake Racheltown;234;849
46;Thompson-Richardsexh.;Port Erik;187;31
47;King and Sonsexh.;North Henrymouth;169;481
48;Harris and Sonsexh.;Williechester;291;463
49;Vargas, Nelson and Williamsexh.;Vegafort;151;444
50;Nichols, Peterson and Cookexh.;Guzmanland;86;65
51;Brooks and Sonsexh.;South Margaretberg;61;130
52;Carpenter-Butlerexh.;Melaniestad;68;985
53;Garrison-Laraexh.;Port Richard;71;482
54;Montgomery Incexh.;Watkinsland;55;679
55;Jenkins, Ortiz and Bellexh.;Petersstad;293;444
56;Mcdonald, Porter and Millerexh.;Lake Suzanneland;287;836
57;Wiley, Little and Martinexh.;Nguyenhaven;289;378
58;Chapman Groupexh.;North Tracyville;171;166
59;Myers-Mclaughlinexh.;Lake Angelahaven;193;799
60;Guerrero, Bailey and Martinezexh.;Reneeville;256;746
61;Burke-Howeexh.;Danielview;69;226
62;Rogers PLCexh.;East Maryshire;246;375
63;Franklin, Anderson and Robbinsexh.;Williamstown;122;833
64;Davis and Sonsexh.;Port Christineport;276;776
65;Hamilton, Smith and Millsexh.;West Todd;256;279
66;Davis PLCexh.;New Breannabury;117;912
67;Perry, Harris and Moranexh.;East Leah;144;161
68;Mcpherson and Sonsexh.;North Ashleyport;246;23
69;Myers, Shaw and Priceexh.;Aprilfort;293;317
70;Carter and Sonsexh.;East Stephenfurt;268;844
71;Tapia LLCexh.;Matthewborough;271;859
72;Ruiz-Mclaughlinexh.;Rebeccafort;80;242
73;Flowers, Williams and Hartexh.;East Julieside;107;617
74;Kent, Combs and Johnsonexh.;Brownside;282;859
75;Walker-Rojasexh.;North Jonathan;182;526
76;Byrd LLCexh.;Bentleystad;230;678
77;Thompson, Page and Calderonexh.;East Seanberg;270;133
78;Hill-Wongexh.;Randychester;128;955
79;Morales-Romeroexh.;Haydenport;132;306
80;James, Mcfarland and Mccormickexh.;Michaelberg;170;889
81;Ball PLCexh.;North Kathleen;295;127
82;Alexander, Moore and Cantuexh.;Gilltown;116;408
83;Charles, Watson and Hicksexh.;Whitneyhaven;100;490
84;Cooper, Clark and Wileyexh.;West Traci;229;401
85;Spencer-Cantuexh.;Krauseborough;94;58
86;Waters, Smith and Craigexh.;South Hollyton;259;298
87;Carter, Ferrell and Bryanexh.;South Michele;156;77
88;Hobbs-Ortegaexh.;Walkerhaven;219;749
89;Goodwin-Schroederexh.;South Jamestown;172;990
90;Evans, Davis and Parkerexh.;Fergusonmouth;232;860
